N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,500",600,-0.73%,100,"4,865,373","5,969,783",53.35,"13,284,987",19.57,9.99
2,SK하이닉스,"118,000","2,000",-1.67%,"5,000","859,043","728,002",48.4,"2,194,558",16.85,9.53
3,NAVER,"444,500","2,000",0.45%,100,"730,151","164,263",56.63,"415,285",4.53,15.22
4,카카오,"145,500","3,500",-2.35%,100,"646,690","444,460",31.95,"4,117,585",211.79,2.7
5,삼성전자우,"74,900",300,-0.40%,100,"616,342","822,887",75.87,"935,238",17.98,N/A
6,삼성바이오로직스,"919,000","7,000",0.77%,"2,500","608,056","66,165",10.38,"90,228",229.18,N/A
7,LG화학,"842,000","15,000",-1.75%,"5,000","594,388","70,592",47.31,"149,044",36.65,2.93
8,삼성SDI,"776,000","5,000",0.65%,"5,000","533,613","68,765",43.85,"266,396",76.01,4.54
9,현대차,"222,500",500,-0.22%,"5,000","475,412","213,668",28.66,"380,632",26.93,2.04
10,셀트리온,"271,500","2,500",0.93%,"1,000","374,443","137,917",20.42,"328,096",62.28,16.68
11,기아,"85,600",100,-0.12%,"5,000","346,991","405,363",33.32,"824,258",15.38,5.05
12,카카오뱅크,"69,800","16,100",29.98%,"5,000","331,620","475,100",1.32,"59,340,894",225.89,5.08
13,POSCO,"341,000","3,000",-0.87%,"5,000","297,307","87,187",54.13,"369,471",13.32,3.61
14,삼성물산,"144,500",500,-0.34%,100,"270,052","186,887",15.05,"248,187",17.21,3.81
15,현대모비스,"276,500",0,0.00%,"5,000","262,103","94,793",35.62,"148,551",14.76,4.66
16,LG전자,"157,000","1,000",-0.63%,"5,000","256,927","163,648",31.77,"409,697",14.63,13.23
17,LG생활건강,"1,458,000","9,000",-0.61%,"5,000","227,713","15,618",45.35,"23,167",31.43,17.92
18,SK이노베이션,"240,500","2,000",0.84%,"5,000","222,380","92,466",22.77,"565,508",-22.74,-13.58
19,SK텔레콤,"305,500","1,000",-0.33%,500,"220,144","72,060",46.53,"125,589",14.07,6.44
20,KB금융,"52,200",200,0.38%,"5,000","217,052","415,808",67.21,"1,261,465",5.43,8.53
21,신한지주,"38,750",50,0.13%,"5,000","200,182","516,600",59.96,"1,431,721",5.44,8.2
22,SK,"278,500","1,500",0.54%,200,"195,953","70,360",20.15,"96,448",32.43,1.11
23,SK바이오사이언스,"244,500","36,500",17.55%,500,"187,042","76,500",4.29,"4,109,156",189.98,13.25
24,엔씨소프트,"823,000","6,000",0.73%,500,"180,682","21,954",51.55,"56,813",38.21,20.83
25,한국전력,"25,450",150,0.59%,"5,000","163,380","641,964",15.23,"1,723,105",7.95,2.91
26,HMM,"39,950",450,1.14%,"5,000","161,954","405,392",9.4,"4,314,442",37.87,8.93
27,삼성생명,"77,000",400,-0.52%,500,"154,000","200,000",13.05,"179,680",7.25,3.53
28,SK아이이테크놀로지,"212,500","4,000",-1.85%,"1,000","151,507","71,298",7.9,"279,826",N/A,11
29,LG,"94,800",700,-0.73%,"5,000","149,121","157,301",33.16,"161,911",8.7,7.5
30,삼성전기,"194,000",500,0.26%,"5,000","144,906","74,694",32.75,"351,642",21.35,10.92
31,삼성에스디에스,"187,000",500,-0.27%,500,"144,696","77,378",11.68,"72,126",22.99,6.71
32,아모레퍼시픽,"228,500","3,500",-1.51%,500,"133,578","58,458",33.5,"162,426",159.9,0.78
33,하나금융지주,"43,250",100,-0.23%,"5,000","129,855","300,242",67.61,"771,707",4.61,8.96
34,포스코케미칼,"157,500",0,0.00%,500,"122,005","77,463",7.93,"182,420",189.3,2.96
35,하이브,"310,000","11,500",3.85%,500,"121,058","39,051",16.25,"324,561",110.28,12.52
36,넷마블,"136,500",500,0.37%,100,"117,327","85,954",22.83,"170,002",37.13,6.35
37,두산중공업,"22,400",750,3.46%,"5,000","114,781","512,416",5.4,"6,612,599",-12.58,-37.2
38,KT&G,"82,200",600,-0.72%,"5,000","112,854","137,292",37.14,"598,113",9.8,13.22
39,S-Oil,"96,900","2,000",-2.02%,"2,500","109,093","112,583",77.89,"184,560",26.32,-13.07
40,대한항공,"30,600",50,-0.16%,"5,000","106,433","347,821",10.94,"1,765,727",13.08,-7.22
41,삼성화재,"218,000",0,0.00%,500,"103,277","47,375",48.2,"110,433",10.86,4.96
42,SK바이오팜,"127,000",500,-0.39%,500,"99,458","78,313",6.76,"197,837",-184.33,-135.18
43,고려아연,"527,000","2,000",0.38%,"5,000","99,445","18,870",20.32,"29,788",15.42,8.37
44,한국조선해양,"130,000",0,0.00%,"5,000","92,005","70,773",17.52,"149,974",-9.95,-7.42
45,롯데케미칼,"265,000","3,000",-1.12%,"5,000","90,830","34,275",27.05,"147,628",12.24,1.22
46,KT,"33,500",100,0.30%,"5,000","87,472","261,112",44.13,"485,884",11.63,4.76
47,한온시스템,"16,150",150,-0.92%,100,"86,209","533,800",17.83,"606,579",63.83,5.09
48,우리금융지주,"11,050",0,0.00%,"5,000","79,811","722,268",27.82,"2,023,777",5.48,5.87
49,LG디스플레이,"22,250",350,-1.55%,"5,000","79,614","357,816",18.16,"3,249,441",23.57,-0.79
50,기업은행,"10,450",100,0.97%,"5,000","77,779","744,301",12.91,"794,474",5.12,6.44
